ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
"45187151","2061501849","1","1"
"9201","2062495429","1","1"
"21145611","2062503642","1","1"
"21027865","2062504449","1","1"
"1340204","2061502185","1","1"
"715233","2062500580","1","1"
"3035856","2061500505","1","1"
"4078224","2061501805","1","1"
"2061501338","40080152","1","1"
"44791205","2062498058","1","1"
"1074214","2061503181","1","1"
"40478913","2061500038","1","1"
"4092647","2061501350","1","1"
"4014134","2061503731","1","1"
"21027865","2062500259","1","1"
"21125875","2062503272","1","1"
"2061502071","40048832","1","1"
"36849476","2062502206","1","1"
"21493955","2061500860","1","1"
"1398937","2062502892","1","1"
"2061501003","36787457","1","1"
"4087619","2061500605","1","1"
"723013","2062501336","1","1"
"37392885","2061505875","1","1"
"4215367","2061506216","1","1"
"44791204","2062498010","1","1"
"19106973","2062503293","1","1"
"36863256","2062501171","1","1"
"45766147","2061500710","1","1"
"4237865","2061502263","1","1"
"44791205","2062498056","1","1"
"21495000","2061502008","1","1"
"2061500457","40035912","1","1"
"1253432","2062502274","1","1"
"40069234","2062502228","1","1"
"2061500457","40035930","1","1"
"715233","2062500582","1","1"
"21125875","2062500944","1","1"
"4134573","2061502016","1","1"
"4194531","2062500597","1","1"
"4269442","2061501422","1","1"
"2061502129","3026288","1","1"
"2061501371","36026953","1","1"
"44791698","2062498030","1","1"
"21491511","2061501132","1","1"
"4159406","2061501556","1","1"
"4044710","2061502021","1","1"
"2061501792","40021312","1","1"
"19006764","2062503690","1","1"
"37003171","2062503689","1","1"
"1315376","2062500544","1","1"
"710062","2062502392","1","1"
"4097822","2061501567","1","1"
"44790747","2062498092","1","1"
"1126658","2062502004","1","1"
"21145611","2062501697","1","1"
"4048506","2061505390","1","1"
"2061500582","3023035","1","1"
"21125875","2062502985","1","1"
"4168192","2061500843","1","1"
"21125875","2062503640","1","1"
"2061505857","42870567","1","1"
"2061502104","46234048","1","1"
"4042746","2061503592","1","1"
"3012888","2061500797","1","1"
"21125875","2062502946","1","1"
"4160443","2061505864","1","1"
"36858302","2062502275","1","1"
"1312007","2062500174","1","1"
"9201","2062495428","1","1"
"42869590","2061501552","1","1"
"4047151","2061505789","1","1"
"44791698","2062498069","1","1"
"1636780","2062504309","1","1"
"4189544","2061501208","1","1"
"986417","2062501902","1","1"
"2061501341","35602790","1","1"
"4057002","2061501989","1","1"
"987153","2062502425","1","1"
"21125875","2062503630","1","1"
"4337977","2061506066","1","1"
"19019317","2062503686","1","1"
"2061500577","3017282","1","1"
"40213251","2062504419","1","1"
"966376","2062502747","1","1"
"4159405","2061501599","1","1"
"45768030","2062502441","1","1"
"45776867","2062503691","1","1"
"4183393","2061501918","1","1"
"19049105","2061501738","1","1"
"710062","2062502394","1","1"
"917006","2062500630","1","1"
"36861654","2062502134","1","1"
"985247","2062502742","1","1"
"2061501332","2927932","1","1"
"9201","2062495449","1","1"
"4107893","2061505872","1","1"
"43012206","2062500955","1","1"
"19037038","2061502213","1","1"
"4269442","2061500698","1","1"
"9203","2061507445","1","1"
"1340204","2061501685","1","1"
"40729379","2062504039","1","1"
"19059817","2062502801","1","1"
"2061502063","40863035","1","1"
"4190104","2061501808","1","1"
"2061501371","46287468","1","1"
"9201","2062495410","1","1"
"1552310","2062501570","1","1"
"4190104","2061502148","1","1"
"2061505918","4307445","1","1"
"4027142","2061500705","1","1"
"4159405","2061501609","1","1"
"4159405","2061501611","1","1"
"19018544","2062500837","1","1"
"2061502069","40745497","1","1"
"4159405","2061501588","1","1"
"9201","2062495432","1","1"
"4159405","2061501610","1","1"
"989878","2062503148","1","1"
"4190196","2062503613","1","1"
"4216722","2061501178","1","1"
"2061501966","40757262","1","1"
"2061500804","35811201","1","1"
"36878782","2062502042","1","1"
"45324018","2061501796","1","1"
"2061500848","21490929","1","1"
"3009094","2061501556","1","1"
"21145611","2062501895","1","1"
"4078224","2061501090","1","1"
"46286019","2062498106","1","1"
"732893","2062502006","1","1"
"2061501375","1988638","1","1"
"4190104","2061501224","1","1"
"1501309","2062504210","1","1"
"3022666","2061500601","1","1"
"2061502068","35606376","1","1"
"45127135","2061501977","1","1"
"40766804","2061505773","1","1"
"19052619","2062507526","1","1"
"9201","2062508426","1","1"
"45766147","2061501905","1","1"
"440921","2062497764","1","1"
"36118942","2062504530","1","1"
"975125","2062501990","1","1"
"21125875","2062503629","1","1"
"4269442","2061501119","1","1"
"43189970","2062503301","1","1"
"4048506","2061506282","1","1"
"991710","2062502030","1","1"
"43189970","2062503299","1","1"
"4190196","2062503719","1","1"
"4021154","2061501573","1","1"
"4190104","2061501232","1","1"
"43055002","2061500951","1","1"
"4172676","2061501910","1","1"
"37312129","2061501342","1","1"
"21490852","2061500720","1","1"
"2061502071","2930902","1","1"
"35609182","2062498026","1","1"
"4178905","2062501174","1","1"
"2061500461","44057250","1","1"
"2061502197","40128069","1","1"
"9201","2062495443","1","1"
"4159406","2061501561","1","1"
"21494997","2061500609","1","1"
"37110035","2061500650","1","1"
"19000382","2062502425","1","1"
"1988618","2061500389","1","1"
"3012096","2061505852","1","1"
"2061505829","4196111","1","1"
"44801344","2061501890","1","1"
"1315946","2062502214","1","1"
"4269442","2061501049","1","1"
"4222679","2062500436","1","1"
"45766147","2061501057","1","1"
"21494995","2061500511","1","1"
"2061501732","40220447","1","1"
"19005046","2062501094","1","1"
"9201","2062508417","1","1"
"4323433","2061501437","1","1"
"19011331","2062504520","1","1"
"44923144","2061501977","1","1"
"36878693","2062501094","1","1"
"2061501284","36890587","1","1"
"42869590","2061502101","1","1"
"43055002","2061500949","1","1"
"2061501332","40042753","1","1"
"4140276","2061503181","1","1"
"19006764","2062503688","1","1"
"9201","2062495433","1","1"
"3009542","2061501606","1","1"
"36878782","2062502929","1","1"
"4190104","2061501052","1","1"
"4269442","2061501127","1","1"
"37003171","2062503489","1","1"
"3018605","2061500902","1","1"
"40484911","2061501838","1","1"
"2061502198","40070104","1","1"
"797399","2062502394","1","1"
"746571","2062502151","1","1"
"4120340","2061505424","1","1"
"2061505887","4045143","1","1"
"40765108","2061505839","1","1"
"2061502256","40729378","1","1"
"4353958","2061508961","1","1"
"42705935","2062503339","1","1"
"992956","2062502715","1","1"
"36854629","2062502257","1","1"
"4086846","2061500558","1","1"
"1548195","2062503706","1","1"
"21027865","2062502116","1","1"
"4190104","2061501240","1","1"
"45059344","2061501977","1","1"
"4007682","2061506246","1","1"
"35850847","2062508249","1","1"
"21027865","2062503595","1","1"
"4241475","2061500574","1","1"
"21125875","2062503273","1","1"
"3019154","2061502001","1","1"
"2061501371","40165027","1","1"
"19006764","2062503689","1","1"
"42689560","2062497988","1","1"
"36118942","2062502426","1","1"
"4227393","2061500512","1","1"
"45775208","2062501258","1","1"
"21145611","2062503319","1","1"
"36861654","2062502873","1","1"
"1988072","2061501363","1","1"
"2061502063","43134507","1","1"
"21037655","2062503663","1","1"
"21491185","2061501720","1","1"
"2061502063","36787293","1","1"
"35200165","2062501688","1","1"
"4130349","2061505880","1","1"
